w and h;memory;operations
1005;20162310;86322465
1006;20204504;86117624
1007;20246742;86463034
1008;20289024;86812992
1009;20331350;87693199
1010;20373720;87239760
1011;20416134;87885219
1012;20458592;87359888
1013;20501094;88190767
1014;20543640;88104432
1015;20586230;88626755
1016;20628864;88952832
1017;20671542;89086149
1018;20714264;88903976
1019;20757030;89469219
1020;20799840;89558040
1021;20842694;90485104
1022;20885592;90052508
1023;20928534;90152898
1024;20971520;90394624
1025;21016600;91125575
1026;21061728;91197036
1027;21106904;91605319
1028;21152128;91576296
1029;21197400;91926744
1030;21242720;91834800
1031;21288088;92404406
1032;21333504;92120448
1033;21378968;93293329
1034;21424480;92933852
1035;21470040;93239010
1036;21515648;93382968
1037;21561304;94014420
1038;21607008;93814440
1039;21652760;94403540
1040;21698560;94128320
1041;21744408;95177589
1042;21790304;94584424
1043;21836248;95213384
1044;21882240;95388192
1045;21928280;96110740
1046;21974368;96020708
1047;22020504;96302013
1048;22066688;96095312
1049;22112920;96972707
1050;22159200;96807900
1051;22205528;97751408
1052;22251904;97143784
1053;22298328;97657326
1054;22344800;97754284
1055;22391320;98232105
1056;22437888;98169984
1057;22484504;99193108
1058;22531168;98992828
1059;22577880;99307725
1060;22624640;98978560
1061;22671448;100062910
1062;22718304;99993672
1063;22765208;100463067
1064;22812160;100296896
1065;22859160;101151570
1066;22906208;100747660
1067;22953304;101306315
1068;23000448;101536896
1069;23047640;102218849
1070;23094880;101776260
1071;23142168;102172329
1072;23189504;102438176
1073;23236888;103148563
1074;23284320;103024524
1075;23331800;103439725
1076;23379328;103463856
1077;23426904;103973580
1078;23474528;103729472
1079;23522200;104661921
1080;23569920;104360400
1081;23617688;105786660
1082;23665504;105053544
1083;23713368;105354240
1084;23761280;105295424
1085;23809240;106142295
1086;23857248;106356324
1087;23905304;106643396
1088;23953408;106449920
1089;24001560;107347086
1090;24049760;107116480
1091;24098008;107672972
1092;24146304;107328312
1093;24194648;108642014
1094;24243040;108185660
1095;24291480;108618525
1096;24339968;108216848
1097;24388504;109381870
1098;24437088;109141200
1099;24485720;109936267
1100;24534400;109733800
1101;24583128;110630682
1102;24631904;110017068
1103;24680728;110715831
1104;24729600;110868096
1105;24778520;111870200
1106;24827488;111675032
1107;24876504;111777111
1108;24925568;111790552
1109;24974680;112488088
1110;25023840;112605060
1111;25073048;113254229
1112;25122304;112799056
1113;25171608;113769747
1114;25220960;113523284
1115;25270360;113821430
1116;25319808;113941368
1117;25369304;114991799
1118;25418848;114465312
1119;25468440;115116006
1120;25518080;114791040
1121;25567768;116115422
1122;25617504;115826304
1123;25667288;116525849
1124;25717120;116268808
1125;25767000;116786250
1126;25816928;116725664
1127;25866904;117129110
1128;25916928;117420288
1129;25967000;118390327
1130;26017120;118080480
1131;26067288;118558206
1132;26117504;118346072
1133;26167768;119017118
1134;26218080;119063196
1135;26268440;119938855
1136;26318848;119434496
1137;26369304;120486753
1138;26419808;119583316
1139;26470360;120548343
1140;26520960;120643920
1141;26571608;122004848
1142;26622304;121595592
1143;26673048;121475754
1144;26723840;121401280
1145;26774680;122738275
1146;26825568;122525736
1147;26876504;122928578
1148;26927488;123173512
1149;26978520;123750747
1150;27029600;123326000
1151;27080728;123985720
1152;27131904;123793920
1153;27183128;125170833
1154;27234400;124749708
1155;27285720;125109600
1156;27337088;125650264
1157;27388504;125982259
1158;27439968;126006612
1159;27491480;126399381
1160;27543040;126528160
1161;27594648;127477800
1162;27646304;126651028
1163;27698008;127700889
1164;27749760;127413768
1165;27801560;128590370
1166;27853408;128187708
1167;27905304;128626740
1168;27957248;128393568
1169;28009240;129657297
1170;28061280;129516660
1171;28113368;130565329
1172;28165504;129876352
1173;28217688;130591263
1174;28269920;130386788
1175;28322200;131027775
1176;28374528;131147520
1177;28426904;132560802
1178;28479328;131780504
1179;28531800;132335676
1180;28584320;132056160
1181;28636888;133261678
1182;28689504;132873348
1183;28742168;133395080
1184;28794880;133874880
1185;28847640;134694210
1186;28900448;133825868
1187;28953304;134546450
1188;29006208;134723952
1189;29059160;135945504
1190;29112160;135764720
1191;29165208;136449297
1192;29218304;135620992
1193;29271448;136854995
1194;29324640;136818072
1195;29377880;137147760
1196;29431168;137324720
1197;29484504;137976993
1198;29537888;138074292
1199;29591320;138157173
1200;29644800;138516000
1201;29698328;140192730
1202;29751904;139109864
1203;29805528;139314618
1204;29859200;139413568
1205;29912920;140751230
1206;29966688;140388048
1207;30020504;141145373
1208;30074368;140947024
1209;30128280;141844716
1210;30182240;141548220
1211;30236248;142701818
1212;30290304;142422120
1213;30344408;143083054
1214;30398560;142914508
1215;30452760;143040735
1216;30507008;143050240
1217;30561304;144471287
1218;30615648;144074784
1219;30670040;144982984
1220;30724480;144962840
1221;30778968;145791063
1222;30833504;145264028
1223;30888088;145883109
1224;30942720;145876320
1225;30997400;147347900
1226;31052128;146901772
1227;31106904;147016686
1228;31161728;146542152
1229;31216600;147998638
1230;31271520;147860760
1231;31326488;148976851
1232;31381504;148330336
1233;31436568;149656608
1234;31491680;148993160
1235;31546840;149455995
1236;31602048;150248160
1237;31657304;150873179
1238;31712608;150575464
1239;31767960;150975867
1240;31823360;150793920
1241;31878808;152363775
1242;31934304;151916472
1243;31989848;152524801
1244;32045440;152317848
1245;32101080;153148695
1246;32156768;152654936
1247;32212504;153727666
1248;32268288;153528960
1249;32324120;155413070
1250;32380000;154310000
1251;32435928;155159028
1252;32491904;154759720
1253;32547928;155737876
1254;32604000;155804484
1255;32660120;156517325
1256;32716288;156279056
1257;32772504;157469418
1258;32828768;156683900
1259;32885080;157324640
1260;32941440;157580640
1261;32997848;159251690
1262;33054304;158047832
1263;33110808;158578491
1264;33167360;158520768
1265;33223960;159990875
1266;33280608;160088232
1267;33337304;160291971
1268;33394048;160343672
1269;33450840;160978995
1270;33507680;160977580
1271;33564568;161885999
1272;33621504;161612688
1273;33678488;162900718
1274;33735520;162549660
1275;33792600;163433325
1276;33849728;162825256
1277;33906904;163844208
1278;33964128;163451088
1279;34021400;164345105
1280;34078720;164096000
1281;34136088;165626895
1282;34193504;164662644
1283;34250968;165603225
1284;34308480;165707904
1285;34366040;167011450
1286;34423648;166349244
1287;34481304;166976667
1288;34539008;167277712
1289;34596760;168282817
1290;34654560;167767080
1291;34712408;168915731
1292;34770304;168236488
1293;34828248;169163190
1294;34886240;168587496
1295;34944280;169476650
1296;35002368;169757856
1297;35060504;171638495
1298;35118688;170588352
1299;35176920;171397854
1300;35235200;170898000
1301;35293528;172729867
1302;35351904;171968160
1303;35410328;173000613
1304;35468800;172740880
1305;35527320;173839050
1306;35585888;173316648
1307;35644504;174074102
1308;35703168;174016320
1309;35761880;175430871
1310;35820640;175343500
1311;35879448;175486527
1312;35938304;174928960
1313;35997208;176857161
1314;36056160;176688324
1315;36115160;177360625
1316;36174208;177004632
1317;36233304;178179564
1318;36292448;177310540
1319;36351640;177966075
1320;36410880;178202640
1321;36470168;180360093
1322;36529504;179561972
1323;36588888;179721612
1324;36648320;180064000
1325;36707800;180663750
1326;36767328;180964524
1327;36826904;181484501
1328;36886528;181253408
1329;36946200;182667063
1330;37005920;181457220
1331;37065688;183378525
1332;37125504;182934216
1333;37185368;184415218
1334;37245280;183558400
1335;37305240;184236675
1336;37365248;183780160
1337;37425304;185621058
1338;37485408;185018640
1339;37545560;185738046
1340;37605760;186152800
1341;37666008;186970266
1342;37726304;186046828
1343;37786648;187113475
1344;37847040;187117056
1345;37907480;189081445
1346;37967968;187931212
1347;38028504;188356398
1348;38089088;188533976
1349;38149720;189565527
1350;38210400;189966600
1351;38271128;191077334
1352;38331904;190399456
1353;38392728;191556387
1354;38453600;190851716
1355;38514520;191560415
1356;38575488;191505168
1357;38636504;193234086
1358;38697568;192757236
1359;38758680;193266108
1360;38819840;192856160
1361;38881048;194900644
1362;38942304;194223924
1363;39003608;194760433
1364;39064960;194708272
1365;39126360;196094535
1366;39187808;195960896
1367;39249304;195832319
1368;39310848;196141104
1369;39372440;197969721
1370;39434080;197378640
1371;39495768;198075225
1372;39557504;197214024
1373;39619288;198884542
1374;39681120;198449568
1375;39743000;199303500
1376;39804928;199619072
1377;39866904;200829942
1378;39928928;200140720
1379;39991000;201445699
1380;40053120;201463440
1381;40115288;202783278
1382;40177504;201619980
1383;40239768;202136514
1384;40302080;201435664
1385;40364440;203629625
1386;40426848;203642208
1387;40489304;204721200
1388;40551808;204305272
1389;40614360;205151133
1390;40676960;204457880
1391;40739608;205737246
1392;40802304;205876800
1393;40865048;207676798
1394;40927840;206445824
1395;40990680;206840835
1396;41053568;206887200
1397;41116504;208070577
1398;41179488;208218120
1399;41242520;208733598
1400;41305600;208518800
